time,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,temp
26.00,-1.4427481,6.9694652,13.541985,-0.183593744,0.03491211,0.7780762,30.0358816
27.00,1.480916,12.038168,25.732824,-0.10791016,0.067871096,0.878417968,30.13
27.00,-3.80916032,3.1603052,6.0534352,0.12036133,0.018798828,0.95532224,30.0358816
27.00,14.961832,2.038168,-13.954199,0.103027348,-0.010009766,0.95092776,30.13
27.00,2.4580152,-2.6717558,-23.900762,0.010253906,-0.012207031,0.8503418,30.0358816
27.00,-5.0458016,-0.5648855,-13.664123,-0.176513668,-0.009033203,0.885498064,30.0358816
27.00,6.78625968,6.1374044,12.977099,-0.176269532,0.044189452,0.8105469,30.08294
28.00,-5.5801524,4.9007636,17.030534,-0.028076172,-0.05419922,0.86279292,30.08294
28.00,-0.229007632,12.290076,10.19084,0.08666992,-0.025146484,0.9680176,30.0358816
28.00,10.946565,2.206107,-8.992367,0.072265624,0.004638672,0.9328613,30.13
28.00,10.488549,-1.5419847,-18.534352,-0.00024414064,0.03466797,0.86499024,30.0358816
28.00,-4.4274808,3.053435,-18.435114,-0.16088867,0.0043945312,0.87060544,29.941762
28.00,17.564886,6.0534352,6.1297708,-0.214843736,0.03515625,0.7583008,30.08294
28.00,-12.183207,-2.0458016,26.671754,-0.06689453,-0.006591797,0.8737793,29.941762
29.00,1.7633588,13.908397,20.343512,0.03955078,-0.0041503908,0.9147949,30.0358816
29.00,9.083969,1.71755732,-8.770992,0.11352539,-0.03515625,0.925781264,30.0358816
29.00,15.885496,-2.4961832,-24.358778,0.04296875,0.013916016,0.80566408,29.988822
29.00,-1.85496184,-5.5114504,-22.564886,-0.13305664,0.0063476564,0.851318336,30.13
29.00,-1.1450381,8.038168,4.114504,-0.15209961,0.05908203,0.7536621,30.0358816
29.00,-6.885496,3.2748092,20.549618,-0.06542969,0.008544922,0.892334,29.988822
30.00,17.1603052,10.053435,21.961832,0.0146484368,0.04345703,0.8588867,30.13
30.00,-4.5419844,-5.0992364,-4.9847324,0.09863281,0.0048828124,0.90405272,29.988822
30.00,-1.4045801,-11.229008,-19.877862,0.06616211,0.014404297,0.894531264,30.0358816
30.00,16.0,8.931297,-16.374046,-0.05859375,0.029296875,0.8093262,29.988822
30.00,10.2213748,3.687023,2.038168,-0.23461914,0.04736328,0.7648926,30.224118
30.00,-5.7175576,2.6335878,20.671754,-0.040039064,-0.030029296,0.7907715,29.941762
31.00,4.145038,2.5801528,19.465648,0.07324219,0.008544922,1.0112305,29.988822
31.00,3.1450382,0.90076332,-8.496183,0.14770508,0.0043945312,0.832031236,30.13
31.00,-2.0076336,4.221374,-20.770992,-0.033203124,0.0007324219,0.9975586,29.894704
31.00,-2.946565,3.70992368,-15.885496,-0.18823242,-0.012939453,0.85302732,29.988822
31.00,2.4503818,9.969465,11.923664,-0.14990234,0.012451172,0.8005371,30.0358816
32.00,-0.366412232,13.854961,18.076336,-0.012207031,-0.05859375,0.9724121,29.988822
32.00,3.5801528,2.687023,2.167939,0.16577148,0.01171875,0.8508301,29.988822
32.00,7.5038168,-11.175572,-14.870229,0.10131836,0.016113282,0.79052732,30.08294
32.00,9.679389,9.534351,-18.0,-0.1105957,-0.0087890624,0.992431632,30.08294
32.00,8.78626,8.038168,-6.076336,-0.26000976,0.03100586,0.8823242,30.08294
32.00,10.358779,4.3816796,26.885496,-0.10986328,0.013183594,0.7512207,29.988822
33.00,-10.496183,7.25190836,11.946565,0.056152344,0.028076172,0.920166,29.988822
33.00,0.9541985,-5.2671756,-7.5267176,0.08520508,-0.04663086,0.95043944,29.941762
33.00,-1.0992366,-0.6793893,-19.091602,0.041503908,-0.0253906252,0.8708496,30.13
33.00,0.7099237,5.2061068,-15.129771,-0.12646484,-0.03149414,0.826416,30.0358816
33.00,0.35877864,12.564885,18.587786,-0.07324219,0.024169922,0.91625976,29.988822
34.00,2.335878,-2.40458,20.625954,-0.006591797,-0.022460938,0.9394531,30.177058
34.00,-4.0458016,1.5496184,3.946565,0.1772461,-0.03149414,0.880615232,30.0358816
34.00,3.9007632,-3.1221372,-16.267176,0.13916016,-0.026367188,0.85961912,30.0358816
34.00,6.725191,6.366412,-23.931298,0.017089844,-0.030517578,0.858398464,30.08294
34.00,-1.1984733,8.183207,-4.2290076,-0.22094726,-0.028808594,0.7976074,30.0358816
34.00,3.038168,10.167939,18.67939,-0.104003908,-0.028564454,0.8544922,30.0358816
35.00,-9.938931,2.1908398,10.61832,0.060791016,-0.044189452,0.88183592,30.08294
35.00,11.9007632,4.3969464,2.1908398,0.14135742,-0.078125,0.9902344,30.13
35.00,17.213742,-7.4885496,-14.335877,0.012451172,-0.04345703,0.92822264,30.0358816
35.00,3.39694668,-6.4580156,-19.961832,0.00048828124,0.033447264,0.7470703,30.0358816
35.00,-0.8167939,6.89313,-7.59542,-0.16601562,-0.036621092,0.811035136,29.988822
35.00,-18.1603052,7.625954,1.9007634,-0.13745117,0.06298828,0.7800293,29.941762
36.00,18.152672,6.068702,22.4427484,-0.005126953,-0.0461425784,0.8625488,30.08294
36.00,-4.0076336,-4.5419844,7.5114504,0.14135742,0.014404297,0.873291,30.0358816
36.00,6.4580156,-3.778626,-7.4885496,0.061035156,-0.045654296,0.9411621,30.08294
36.00,10.824428,-2.9694658,-16.847328,0.012207031,-0.04663086,0.8996582,30.0358816
36.00,7.9465648,5.9160304,-9.435115,-0.061035156,-0.0126953128,0.78125,29.988822
36.00,1.2137405,-0.3816794,2.6793892,-0.1394043,0.0476074216,0.7561035,29.988822
36.00,-3.870229,5.740458,16.343512,-0.051513672,-0.0012207031,0.8647461,29.988822
37.00,-4.4656488,3.5038168,14.946565,0.056884764,-0.026855468,0.88427736,29.988822
37.00,5.1297708,5.854962,-1.0839695,0.107421868,-0.072021484,0.9440918,30.13
37.00,8.389313,-6.8015268,-18.114504,0.06982422,0.0017089844,0.85498052,30.08294
37.00,0.26717558,0.7099237,-18.152672,-0.020996094,0.009277344,0.8066406,30.08294
37.00,0.32061068,5.5801524,-15.59542,-0.14453125,-0.029541016,0.8676758,30.0358816
37.00,3.4961832,4.3511452,12.755725,-0.15625,0.019042968,0.9165039,30.13
38.00,-7.17557236,-0.9847328,15.389313,0.044433592,-0.020751954,0.9123535,30.0358816
38.00,6.114504,6.3511452,2.4122138,0.176757808,-0.040283204,0.907959,30.0358816
38.00,7.9847332,-5.6793896,-17.80916,0.07470703,-0.00048828124,0.8400879,30.0358816
38.00,10.541985,4.0152676,-18.709922,-0.06616211,0.021728516,0.82250976,30.0358816
38.00,-2.038168,1.6259542,-8.931297,-0.19604492,-0.017333984,0.86157224,30.08294
38.00,-4.3511452,0.99236643,11.885496,-0.12670898,-0.018310546,0.8996582,30.08294
39.00,7.633588,7.45801536,18.412214,0.026367188,-0.029541016,0.936035136,30.177058
39.00,-1.2290076,-3.259542,1.091603,0.1574707,-0.03149414,0.85717776,30.0358816
39.00,8.152672,-6.7175576,-10.931297,0.0769043,-0.015136719,0.90722652,30.13
39.00,4.0458016,0.343511468,-15.572519,-0.0061035156,-0.017089844,0.876464832,30.0358816
39.00,1.8625954,9.328244,-5.10687,-0.15063476,0.005859375,0.87475584,29.988822
39.00,-0.35114504,9.511451,12.496183,-0.071777348,-0.005126953,0.8293457,30.0358816
40.00,2.076336,2.8778628,18.61832,0.017089844,0.022216796,0.8835449,30.08294
40.00,4.7633584,5.480916,-0.129771,0.1171875,-0.03149414,0.88378904,29.988822
40.00,2.259542,-4.9923664,-16.152672,0.0766601536,-0.013427734,0.8769531,29.941762
40.00,2.0152672,3.1145038,-20.114504,-0.032714844,-0.022216796,0.8251953,30.0358816
40.00,10.702291,5.7099236,-1.129771,-0.16772461,-0.008056641,0.8613281,30.177058
41.00,-8.267176,5.0,13.541985,-0.057861328,0.0,0.78637692,29.988822
41.00,7.70229,7.0229008,20.992366,0.059326172,-0.02709961,0.890625,29.988822
41.00,-2.5496182,2.427481,3.4961832,0.1628418,-0.061279296,0.8979492,30.13
41.00,2.1603052,-6.5343512,-14.603053,0.10424805,-0.037109376,0.8601074,30.177058
41.00,2.70229,2.9541984,-18.595418,-0.059326172,-0.06274414,0.9025879,29.941762
41.00,7.8015268,9.320611,-1.7633588,-0.18725586,0.001953125,0.81689452,29.941762
42.00,1.4351145,1.5419847,15.694656,-0.08129883,-0.05908203,0.8391113,30.08294
42.00,7.9083968,2.1526718,17.1603052,0.049072264,-0.05126953,0.920898464,29.941762
42.00,0.8854962,-2.870229,-2.648855,0.10864258,-0.048095704,0.9055176,30.08294
42.00,1.6717557,-1.259542,-19.305344,0.043701172,-0.0043945312,0.80444332,30.13
42.00,6.152672,0.67175576,-13.572519,-0.11303711,-0.049072264,0.889648464,30.08294
43.00,-0.53435116,7.6030536,7.17557236,-0.10546875,0.010986328,0.8166504,30.13
43.00,-0.66412216,7.335878,16.152672,0.0053710936,-0.03930664,0.9272461,30.0358816
43.00,-0.061068704,-2.465649,6.7175576,0.13720703,-0.051513672,0.904785136,30.13
43.00,5.4580156,-6.74809136,-5.5801524,0.09082031,-0.03930664,0.9091797,30.08294
43.00,-2.3816792,-3.2671756,-16.641222,0.018554688,-0.0383300768,0.8840332,30.0358816
43.00,7.74809136,8.183207,-12.541985,-0.11206055,-0.06542969,0.9243164,30.0358816
44.00,11.549619,7.068702,2.4503818,-0.12475586,-0.022216796,0.7609863,30.0358816
44.00,-1.8396946,2.7862596,11.244275,-0.12207031,-0.061035156,0.9160156,29.988822
44.00,2.129771,7.0,14.770992,-0.016113282,-0.0175781252,0.87768552,30.177058
44.00,3.2824428,0.10687023,7.145038,0.119384768,-0.037353516,0.873291,30.0358816
44.00,5.2519084,-3.9770992,-6.90076336,0.0949707,-0.041748048,0.88842776,30.0358816
44.00,1.4885496,3.1068702,-17.358778,-0.004638672,-0.028320312,0.9484863,30.08294
44.00,-3.2137404,0.366412232,-14.4198468,-0.13769531,-0.09448242,0.8544922,29.988822
45.00,3.7251908,1.1450381,3.7251908,-0.15576172,-0.043701172,0.81640624,30.08294
45.00,-6.1679388,10.5801528,17.541984,-0.07446289,-0.0126953128,0.83496092,30.0358816
45.00,6.83206136,6.7557256,15.290076,0.052490236,-0.033935548,0.9309082,30.0358816
45.00,3.259542,-3.2137404,-1.480916,0.099853512,-0.053222656,0.909667936,30.08294
45.00,4.4198476,-4.6106872,-13.694656,0.059326172,-0.037841796,0.9277344,30.13
45.00,13.374045,8.916031,-14.870229,-0.026855468,-0.048828124,0.8754883,30.13
46.00,5.480916,4.9389316,-4.6030536,-0.18603516,-0.04248047,0.84350584,30.08294
46.00,-1.5343511,6.1374044,9.274809,-0.07421875,-0.022460938,0.8666992,30.0358816
46.00,1.5267176,0.10687023,9.442748,-0.009765625,-0.044433592,0.9416504,30.177058
46.00,2.9847328,8.549619,8.572519,0.043945312,-0.049316408,0.9526367,30.13
46.00,-1.6717557,-6.6946564,-4.7938932,0.072509768,-0.057861328,0.86083984,30.08294
46.00,5.374046,5.2442748,-17.267176,0.014160156,-0.045898436,0.8688965,29.894704
47.00,8.175572,8.732824,-12.450381,-0.10131836,-0.04272461,0.8034668,30.08294
47.00,5.3893128,5.5114504,5.9007636,-0.13696289,-0.075683592,0.828125,30.0358816
47.00,6.82442736,3.7557252,16.725192,-0.09375,-0.04638672,0.9387207,29.988822
47.00,-10.335877,16.580152,25.038168,0.013427734,-0.05444336,0.80444332,30.08294
47.00,-2.1068702,-7.2290077,9.236641,0.15576172,-0.040527344,0.9404297,30.0358816
47.00,3.67175584,-2.2748092,-11.427481,0.1159668,-0.05859375,0.85302732,30.0358816
48.00,5.5648856,1.259542,-17.122138,-0.05834961,-0.07788086,0.826416,30.08294
48.00,5.0305344,9.045801,-6.328244,-0.18579102,-0.059814452,0.8425293,30.08294
48.00,7.442748,5.9694656,16.519083,-0.1303711,-0.028564454,0.89624024,30.0358816
48.00,-8.946565,3.1068702,16.778626,0.026367188,-0.051757812,0.8725586,30.13
48.00,4.8015264,1.6183206,3.0687022,0.12036133,-0.04321289,0.876709,30.13
48.00,6.5343512,-0.366412232,-12.679389,0.068359376,-0.03857422,0.8869629,30.13
49.00,4.854962,5.59542,-15.435115,-0.099365232,-0.07836914,0.88134768,30.13
49.00,10.045801,6.816794,4.854962,-0.09692383,-0.012451172,0.711181636,30.08294
49.00,6.931298,6.0610684,13.549619,-0.059570312,-0.043945312,0.8833008,29.988822
49.00,0.1908397,-2.7633588,11.435115,0.045410156,-0.02709961,0.916748064,29.988822
49.00,7.7633584,0.2519084,-2.816794,0.06640625,-0.038085936,0.89941408,30.13
50.00,6.2748092,0.6183206,-13.122137,-0.010009766,-0.019042968,0.87402344,30.177058
50.00,5.374046,9.511451,-6.9541984,-0.114746092,-0.024658204,0.8486328,30.0358816
50.00,2.4732824,7.5038168,6.9465648,-0.07446289,-0.00366210936,0.8654785,30.08294
50.00,-2.5419848,6.5038168,10.122137,-0.029052734,-0.016113282,0.8847656,30.0358816
50.00,-2.6717558,3.9923664,7.16793836,0.104003908,-0.044433592,0.980468736,30.0358816
50.00,6.9541984,-0.8396947,-9.312977,0.035888672,-0.03564453,0.92163084,29.988822
51.00,6.6488548,8.770992,-15.954199,-0.059814452,-0.013183594,0.8017578,30.13
51.00,2.3282442,2.519084,-9.641221,-0.19677734,0.0017089844,0.83374024,30.08294
51.00,2.3587788,-3.40458,14.488549,-0.091796872,-0.01953125,0.88623048,30.13
51.00,-4.7480916,1.6183206,15.702291,0.028076172,-0.05834961,0.89941408,30.13
